Number comments,Tier,Title,Votes,Date
2,contributor,Deep Learning Attempt,0,2018-06-07 00:42:29.761280400
0,staff,Titanic Challenge,0,2018-06-06 23:28:01.617000000
11,contributor,Looking for novice ML students to work and study together with,4,2018-06-06 18:29:10.801445000
0,novice,Titanic survival with Feature Engineering,0,2018-06-06 17:16:44.387000000
6,novice,Recursive Forward Elimination Workflow to 0.82296,3,2018-06-06 09:57:59.893000000
1,contributor,Degrees of Freedom,0,2018-06-05 16:29:09.715270500
33,expert,Titantic Mega Model - [0.84210],24,2018-06-05 01:37:10.360000000
0,novice,"Simple Neural Network, Ensembling, Keras, Titanic",0,2018-06-04 11:11:40.897000000
0,novice,Titanic,1,2018-06-03 11:53:24.587000000
2,contributor,Titanic Survival Prediction (Top 20%),0,2018-06-03 10:00:10.053000000
7,contributor,Simple prediction with just age and sex features,10,2018-06-01 14:42:50.233000000
2,contributor,A method to handle ordered categorical features,0,2018-06-01 12:59:20.330000000
13,contributor,Titanic Using Ticket Groupings,10,2018-06-01 10:37:28.937000000
2,contributor,How much score is too much?,1,2018-05-31 15:03:47.403543600
4,contributor,New Team,0,2018-05-31 14:22:18.394636900
31,novice,Looking for team.,5,2018-05-31 09:56:54.902893700
0,contributor,Titantic Data Set,2,2018-05-30 21:26:04.010000000
2,contributor,"First Kernal,Pytanic using various Algorithms ",2,2018-05-29 18:45:53.333000000
2,novice,A beginners doubt! ,1,2018-05-29 17:38:17.362220700
2,contributor,Should I move to another competition?,0,2018-05-29 14:38:21.276614100
28,novice,looking for new team,0,2018-05-29 13:05:57.900314600
6,novice,What does CV imply about the data?,0,2018-05-29 06:21:55.370991300
2,contributor,Titanic-How I scored above .80(Vis + Feature Engg),5,2018-05-29 04:43:13.507000000
5,contributor,What else I can do to improve the prediction?,0,2018-05-27 12:11:54.391400600
0,contributor,Hyperparameterized CatBoost,0,2018-05-26 16:16:35.313000000
7,contributor,Could anyone help me out to understand how Title of passenger can help to predict whether he/she survived or not?,0,2018-05-26 11:54:45.739241000
5,novice, 3 Strategies Analyzing Age and Their Impact ,7,2018-05-26 11:03:08.533000000
2,novice,(Newbie question)what does it mean by \u0022dropping feature\u0022,0,2018-05-26 02:42:57.629831800
12,novice,79% Need Your Help,0,2018-05-25 23:52:18.353000000
2,contributor,You should One Hot Encode to make better models,2,2018-05-25 13:21:01.039309600
26,novice,looking for a team,0,2018-05-25 09:13:26.324870700
0,contributor,FirstScratchInPy,0,2018-05-25 06:28:11.850000000
0,contributor,"Titanic Problem, Begginer ",5,2018-05-24 20:28:16.323000000
4,contributor,How to get past 80%,0,2018-05-24 14:53:44.447317600
5,contributor,Titanic Survival Prediction,14,2018-05-24 00:40:19.093000000
16,expert,How to score over 82% Titanic,14,2018-05-23 18:57:17.872462400
0,novice,TITANIC,1,2018-05-22 19:52:13.450000000
0,contributor,shinyafujita_04,0,2018-05-22 15:34:59.843000000
0,contributor,shinyafujita_03,0,2018-05-22 14:26:43.007000000
3,novice,Looking for a team,0,2018-05-22 11:21:23.675346900
0,contributor,shinyafujita_02,0,2018-05-22 11:02:09.753000000
0,novice,HelloWorld,0,2018-05-22 06:59:37.820000000
31,novice,Looking for team - new ,4,2018-05-22 02:31:56.906029000
3,novice,what exactly we learn from this?,0,2018-05-21 08:17:39.949062000
0,contributor,Deeply Titanic,12,2018-05-19 14:08:31.340000000
10,novice,Titanic Learning First Try,11,2018-05-19 03:44:33.867000000
22,expert,Titanic using Name only [0.81818],22,2018-05-18 13:37:08.897000000
0,contributor,shinyafujita_01,0,2018-05-18 01:46:05.673000000
1,contributor,Practice Skills,0,2018-05-16 16:20:52.793287400
2,contributor,AdaBoostClassifier and GradientBoostingClassifier,0,2018-05-16 07:44:46.840000000
0,contributor,HelloWorld-Kernel,1,2018-05-15 19:41:57.390000000
1,novice,Confused about how to process Pclass feature,1,2018-05-14 12:13:16.326526600
2,novice,Titanic Disaster: Machine Learning Step by Step ,8,2018-05-12 11:27:48.043000000
3,novice,Scoring Zero?,0,2018-05-11 19:49:26.556811300
0,novice,welcome,2,2018-05-10 18:40:07.157000000
35,novice,Looking for a team!I\u0027m beginner with Python!,8,2018-05-10 12:54:15.227580500
10,novice,Looking for a team !!!,0,2018-05-10 09:51:30.372202300
1,novice,I have just Started with R,0,2018-05-09 10:04:50.660337000
0,novice,Beginners in data science,0,2018-05-09 09:36:12.380208800
4,novice,can i use MATLAB here?,1,2018-05-09 03:18:58.137452000
0,novice,Difference between tree and SEM categorical moderator with random slope and intercept,0,2018-05-08 14:13:46.776205100
6,novice,looking for a team,1,2018-05-08 10:15:42.705189900
20,contributor,What’s a good score? ,10,2018-05-08 02:19:20.944598600
0,novice,"Titanic EDA, Modeling and Evaluation-step-by-step",0,2018-05-07 12:31:20.947000000
0,novice,Titanic Returns with 98.80 plus Advanced Tut 2018,5,2018-05-07 09:21:55.543000000
6,contributor,"Got the results, but don\u0027t know how to use it",0,2018-05-06 13:30:12.895300200
77,novice,Looking For a team (beginner),2,2018-05-05 20:59:19.906748900
2,contributor,Minimal Titanic Approach,3,2018-05-05 16:30:23.977000000
0,novice,"92% epoch, but 75% score!?!?",0,2018-05-05 02:01:50.094408700
41,contributor,Titanic practice by Davidcoxon,74,2018-05-05 01:08:28.893000000
4,contributor,This is my first kernel - Titanic,0,2018-05-03 15:02:02.167000000
4,contributor,What \u0027s model for this?,2,2018-05-03 10:26:30.696948900
1,novice,Looking for a team,2,2018-05-03 07:35:28.899898200
5,novice,Titanic Code (2 May 18),15,2018-05-02 08:52:05.470000000
0,novice,Simple Logistic Regression ,4,2018-04-29 21:12:52.623000000
9,contributor,Can I use survived to train Ages?,1,2018-04-28 00:30:15.636464900
2,novice,Missing value in the test data,0,2018-04-26 17:08:06.731860400
0,contributor,Getting 891 rows for titanic dataset but 418 entries as per the guidlines,0,2018-04-26 12:59:20.381252400
4,novice,Looking for Good Team to solve Titanic Problem Using Python ,0,2018-04-26 11:11:01.367167700
9,novice,Feature engineering beginner - when does creating a new feature improve model?,5,2018-04-26 05:55:45.773212300
7,novice,Looking to team up with people who work on R,0,2018-04-26 02:30:41.195759300
3,novice,New- Looking for Team,0,2018-04-25 13:00:56.064472500
2,novice,Titanic: ML tutorial on small dataset - [0.82296],8,2018-04-25 07:09:45.207000000
0,novice,titanic prediction,2,2018-04-25 05:55:30.140000000
11,contributor,"Titanic Starter with XGBoost, 173/209 LB",7,2018-04-25 02:19:26.923000000
5,contributor,Titanic model with XGB classifier,7,2018-04-24 05:49:54.367000000
7,novice,Unable to get the prediction right for titanic dataset?,0,2018-04-23 18:17:56.814460300
2,novice,Can i ask to join in one nice team please,0,2018-04-23 06:29:05.902632100
0,novice,titanic model using Logistic regression,0,2018-04-23 03:05:11.367000000
20,novice,Two people looking for new teammembers,0,2018-04-22 15:02:21.389225600
2,contributor,Titanic Exploratory Data Analysis,0,2018-04-21 23:11:03.263000000
2,novice,Titanic - How to start (A beginners path),11,2018-04-21 19:47:39.843000000
2,contributor,Titanic Public - Indian English ,4,2018-04-21 05:29:02.420000000
0,novice,"New to Kaggle, Some Experience in Data Analysis",2,2018-04-20 18:46:17.139321300
13,contributor,What about the Parents? My Path to Top 4%,7,2018-04-20 16:20:36.243000000
7,novice,Data analytics newbie looking for a team,0,2018-04-20 10:08:54.641309900
5,novice,Does it help to convert age and fare into categorical variables?,1,2018-04-20 02:03:54.899273100
2,novice,Titanic: a simple beginner\u0027s approach,10,2018-04-19 01:33:32.480000000
5,novice,download data error,0,2018-04-18 06:29:19.702293500
3,contributor,ValueError: could not convert string to float: \u0027male\u0027,0,2018-04-16 19:20:02.169220600
2,novice,Sinking of the Titanic in ML,0,2018-04-15 14:13:06.900000000
3,contributor,Titanic-Ensembling,2,2018-04-15 09:39:08.237000000
2,contributor,Models for Titanic,0,2018-04-15 09:01:22.440000000
3,contributor,xgboost,0,2018-04-13 19:30:36.440168200
16,contributor,"Titanic, a step-by-step intro to Machine Learning",72,2018-04-13 05:38:07.163000000
59,novice,Beginners Data Science \u0026 Machine Learning Team - Python,0,2018-04-12 17:39:05.789954700
0,novice,First Go,0,2018-04-12 13:01:15.493000000
0,novice,Titanic using Tensorflow #3 (deeper than #2),0,2018-04-12 12:33:07.493000000
4,novice,Please help me find an error,0,2018-04-12 09:27:33.138144900
5,novice,CV score much higher than test set,0,2018-04-12 06:42:30.609485700
3,novice,Titanic using Tensorflow #2 (lower than expected),0,2018-04-11 14:56:48.550000000
0,contributor,analysis the data,0,2018-04-11 14:48:58.187510900
2,contributor,Random Forest Classifier,3,2018-04-11 12:43:36.393000000
0,novice,Titanic Survivor,0,2018-04-11 10:48:50.607000000
2,contributor,Titanic kernal V1,0,2018-04-10 05:29:01.517000000
44,contributor,Data analysis and feature extraction with Python,90,2018-04-09 05:29:52.910000000
1,contributor,Rmd df_print table width?,0,2018-04-08 23:14:38.129199900
3,novice,Titanic using Tensorflow,0,2018-04-08 01:08:47.787000000
10,novice,Anyone ready for teaming-up? I just finished Andrew Ng\u0027s Specialization. Need 4 people.,0,2018-04-07 08:16:01.498329700
0,novice,Titanic prediction (TF2),2,2018-04-06 13:20:52.903000000
2,contributor,I am new to kaggle and data science. Want to join a team.,0,2018-04-06 10:29:41.444152700
0,novice,Sarcasm Detection ,0,2018-04-06 06:03:54.996018700
3,novice,Neural Network,0,2018-04-05 13:10:47.497463100
2,contributor,Titanic Analysis(Newbie),3,2018-04-04 21:55:01.650000000
2,novice,Titanic_Python_notebook,1,2018-04-04 12:39:14.613000000
0,novice,What if I was on the Titanic,2,2018-04-03 13:10:59.027000000
9,contributor,The preprocessing framework with Titanic,5,2018-04-03 08:09:57.520000000
0,novice,"Machine Learning works in Azure, but not in Excel. Help!",0,2018-04-03 00:45:34.572691700
3,novice,how to predict,0,2018-04-02 20:41:21.573832600
2,contributor,Titanic Survivor Prediction,5,2018-04-02 17:44:43.573000000
1,contributor,imputing missing age,0,2018-04-02 11:02:49.412394100
2,contributor,impute_missing_age,1,2018-04-02 10:39:15.870000000
6,novice,Zero Accuracy,2,2018-04-02 00:21:27.583708600
9,contributor,CV Score vs Public Submission Score Very Different,1,2018-04-01 15:45:24.690793100
70,novice,I am completely new so I created a team for newbie,3,2018-04-01 09:43:50.086072600
23,contributor,Titanic: A Tidy Caret Approach - (0.8086),20,2018-03-31 20:17:49.390000000
6,novice,Hey! I\u0027m new here. Just finished Andrew Ng\u0027s DL Specialization. Would anyone want to team up?,4,2018-03-31 10:37:09.572573900
1,contributor,2.5% improvement by averaging models!,0,2018-03-31 04:32:15.826603200
5,contributor,is.na does not work on Embarked Feature,0,2018-03-30 06:52:28.485070900
2,contributor,"Multiple LR-Pclass, Sex, Age, Sib, Parch, Fare",1,2018-03-29 17:10:35.313000000
2,contributor,Different Score in submission and offline,0,2018-03-29 16:49:41.837476300
2,contributor,Kaggle Titanic with Tensorflow,7,2018-03-28 21:47:24.070000000
2,contributor,1.0 score?,0,2018-03-28 14:05:16.502054000
0,contributor,Seaborn.heatmap,0,2018-03-28 09:14:05.074904300
0,contributor,cant delete comment,0,2018-03-28 08:46:55.709254300
2,contributor,KNN classification,0,2018-03-28 06:32:13.720000000
0,novice,Few issues with speedml python package on Macbook,0,2018-03-27 03:35:49.781864200
3,novice,Titanic score,0,2018-03-27 02:52:21.938138800
9,contributor,How to deal with missing data? ,4,2018-03-26 21:22:18.167000000
18,expert,XGBoost model with minimalistic features,24,2018-03-26 15:44:48.297000000
1,novice,"leave you email ,join  new team",0,2018-03-25 08:44:27.225054500
5,novice,"I\u0027m new for Kaggle, looking for a team",1,2018-03-25 06:02:51.641968200
2,novice,"Softmax classify not working on this task, why?",0,2018-03-25 00:20:02.353164600
29,novice,Searching for a Team,1,2018-03-24 19:01:12.323673200
0,novice,Titanic code,1,2018-03-24 15:17:11.070000000
2,contributor,Support Vector Implementation Model,3,2018-03-24 09:56:37.187000000
2,novice,look for a new team,0,2018-03-24 08:02:00.776074800
0,novice,Titanic (First Attempt),0,2018-03-23 21:52:56.893000000
1,contributor,lol...,0,2018-03-23 13:37:33.938022600
0,novice,Forecasting methods book ,0,2018-03-23 13:22:42.239641800
1,novice,Looking for a team to get started,0,2018-03-23 10:07:00.485333700
3,expert,Titanic in Python SVM,2,2018-03-23 00:54:54.807000000
2,contributor,Binning of train_df and test_df,1,2018-03-22 21:17:27.240547700
0,novice,Lets team up !!,0,2018-03-22 18:08:39.884465200
0,contributor,Regressed Predictive Model For Titanic Survivors,0,2018-03-22 12:16:10.150000000
0,contributor,hard work,0,2018-03-22 10:59:33.417300900
12,novice,Best score for a single classifier,1,2018-03-22 05:45:20.784548500
0,contributor,Doubt in finding cutoffs through Logistic Regression in R,0,2018-03-21 11:46:00.772078100
2,novice,"I\u0027m new for Kaggle, looking for a team",0,2018-03-21 07:54:28.866310600
2,contributor,Titanic,2,2018-03-20 20:11:35.580000000
2,contributor,asdfghj,1,2018-03-20 07:17:46.327170700
2,contributor,Tensorflow Custom Estimator Titanic,0,2018-03-20 02:22:23.453000000
4,expert,Titanic Ticket-only study,2,2018-03-19 21:59:49.333000000
3,contributor,Titanic Survival Prediction,2,2018-03-19 19:20:37.317000000
101,novice,"I\u0027m new for Kaggle, looking for a team",13,2018-03-19 14:49:20.220710100
0,contributor,Quick EDA for beginners ,2,2018-03-19 09:45:58.027000000
4,novice,Unable to submit prediciton,0,2018-03-19 03:41:44.407698600
4,contributor,Tensorflow DNNClassifier Titanic: basic approach,3,2018-03-19 01:30:10.077000000
12,novice,Titanic Project,10,2018-03-19 00:57:02.940000000
3,contributor,Analysis of algorithms,0,2018-03-18 17:53:54.313000000
2,novice,Kaggle beginner Looking for a team,1,2018-03-18 08:21:28.596784900
54,novice,can we create a team (beginners),5,2018-03-18 07:08:08.536923600
3,contributor,New Kaggler can we create team and learn together ?,0,2018-03-18 04:30:52.798473900
0,novice,Titanic Analysis,0,2018-03-17 11:39:05.250000000
3,contributor,Basic guide for beginners,15,2018-03-17 08:03:28.067000000
0,contributor,Titanic Prediction: Deep learning(Tensorflow),2,2018-03-17 07:07:57.720000000
5,contributor,Stacking ensemble,13,2018-03-16 19:03:47.240000000
2,contributor,Titanic problem,0,2018-03-15 22:54:33.457000000
2,contributor,Titanic: Survived or Not Survived?,6,2018-03-15 15:10:36.327000000
3,contributor,My first machine learning project- Titanic,4,2018-03-15 07:17:33.793000000
11,novice,New Kaggler looking for a team,0,2018-03-15 01:52:27.226748700
0,contributor,Missing values,0,2018-03-13 15:52:41.746659800
0,contributor,titanic_deepanjal_gupta,0,2018-03-13 14:27:45.430000000
6,novice,Why people can have same ticket number in data? Thanks.,2,2018-03-13 09:47:14.464398900
0,contributor,Here We Are: Starting on the Titanic Practice Comp,0,2018-03-13 07:59:01.617000000
5,contributor,A quick dive into h2o with python,8,2018-03-12 10:02:22.990000000
2,contributor,Titanic Tragedy: Exploratory Data Analysis,0,2018-03-11 15:16:26.310000000
2,contributor,Titanic,2,2018-03-10 20:58:30.837000000
3,novice,What to do?,0,2018-03-10 05:02:46.037390600
0,novice,trouble with knn ,0,2018-03-10 02:30:54.580000000
0,novice,The Survival of Titanic disaster  (0.80382) ,0,2018-03-09 08:32:41.610000000
3,contributor,Please help with a tiny problem,0,2018-03-08 17:18:53.006272100
0,contributor,Titanic Survivors using Python,0,2018-03-08 07:01:53.700000000
3,contributor,Fork of Titanic ML using SVM,0,2018-03-08 05:15:33.253000000
3,contributor,Artificial Neural Network using Keras,7,2018-03-08 02:34:18.023000000
0,contributor,Feature engineering and model evaluation,3,2018-03-08 02:33:14.633000000
2,expert,Minimalistic Titanic in Python LightGBM ,0,2018-03-07 18:41:33.080000000
3,contributor,Minimalistic XGB with Python,2,2018-03-07 15:01:52.503000000
56,contributor,"I am new to ML and Kaggle, looking for a team, can we team up? Thanks!",5,2018-03-07 12:50:25.259079900
35,contributor,Looking for a 3-4 Member team with basic knowledge of ML and Python,0,2018-03-07 06:04:48.744105200
6,novice,Saving csv,0,2018-03-07 05:19:31.418848700
2,novice,Randomforest acting weird,0,2018-03-07 02:09:07.547000000
1,contributor,New to Kaggle,0,2018-03-07 02:01:52.539538800
0,contributor,Titanic with NN,0,2018-03-06 12:54:19.193000000
0,novice,credit card fruad,0,2018-03-06 10:43:52.311285000
4,contributor,Fork of Titanic ML using Random Forest Classifier ,4,2018-03-06 08:36:31.123000000
4,novice,Titanic Script,7,2018-03-06 03:39:32.297000000
6,novice,trouble with Random Forest,0,2018-03-06 02:18:37.203000000
2,contributor,Fork of Titanic ML for Disaster,5,2018-03-05 14:13:14.827000000
0,novice,new user,0,2018-03-05 09:41:25.020774900
4,contributor,score,0,2018-03-05 09:24:50.600510100
0,contributor,a good starting compatation,0,2018-03-05 08:41:33.692371400
0,novice,Titanic Data Science Solutions,1,2018-03-05 08:41:30.490000000
3,novice,predictions using Random Forest,0,2018-03-04 20:13:03.781200800
2,novice,How to publish Kaggle Kernel,0,2018-03-04 14:39:43.089489900
1,novice,Can\u0027t locate results .csv file?,0,2018-03-04 13:06:17.607219900
2,novice,New To ML case studies.....,0,2018-03-04 11:13:01.377180700
0,novice,Titanic Survival Competition,10,2018-03-04 10:19:19.787000000
1,novice,Resolved,0,2018-03-04 02:52:52.065918500
2,expert,Minimalistic XGB,3,2018-03-03 20:17:18.140000000
4,contributor,ML basics on Titanic Data,5,2018-03-02 21:35:45.223000000
0,novice,Titanic Survive,0,2018-03-02 18:15:23.900000000
0,novice,TITANIC,1,2018-03-01 23:07:57.003000000
55,novice,"New to ML and kaggle, looking for team",4,2018-03-01 13:39:09.298460600
0,contributor,titanic,0,2018-02-28 14:14:43.797000000
2,novice,Manually Ignore the Variable Cabin,0,2018-02-27 21:23:53.486970500
2,contributor,Titanic: Machine Learning from Disaster Solution,0,2018-02-27 15:10:21.203000000
18,novice,Basic Knowledge ML- Looking for Team,1,2018-02-25 20:49:29.338877400
2,contributor,K Nearest Neighbour from Scratch,2,2018-02-25 14:32:49.973000000
3,contributor,Titanic Neural Network for Beginners,6,2018-02-25 13:01:30.810000000
4,contributor,Titanic Competition Kernel,2,2018-02-24 15:27:10.410000000
2,contributor,Titanic Random Forrest: use title to impute age,0,2018-02-24 09:25:20.477000000
2,contributor,Titanic Survival Ensembling Model,7,2018-02-24 06:46:16.727000000
7,expert,Strategies for estimating a model performance,7,2018-02-23 18:28:40.510000000
3,novice,"Leaderboard not showing my rank, i scored 0.72248 but why it is not showing my name on the leaderboard",0,2018-02-23 10:01:23.968148400
0,contributor,New and looking for team to exchange knowledge?,1,2018-02-22 17:54:57.494412000
5,expert,\u0027Python\u0027 to \u0027R\u0027 tutorial,13,2018-02-22 17:20:58.623000000
17,expert, \u0027R\u0027 to \u0027Python\u0027 tutorial,31,2018-02-22 17:14:49.167000000
7,novice,need ateam..,0,2018-02-22 11:03:46.652828600
0,contributor,TITANIC-RANDOM FOREST OR SVM 0.80 (STEP BY STEP),0,2018-02-21 15:30:28.010000000
17,novice,I\u0027m new to Kaggle challenges ,0,2018-02-21 09:59:36.225259500
2,novice,Looking for a team,1,2018-02-21 09:34:45.198267500
2,novice,Titanic Data Visualization,2,2018-02-21 06:15:09.007000000
0,novice,AI Group Meeting (hand code),0,2018-02-20 19:04:46.133000000
2,contributor,Titanic: Mahendra Neeraj,4,2018-02-20 09:57:33.900000000
2,contributor,Machine Learning com dados da base Titanic,0,2018-02-19 18:43:11.660000000
2,contributor,Basic Neural Network with Numpy \u0026 Titanic,0,2018-02-19 15:20:37.213000000
2,contributor,Titanic,0,2018-02-19 15:18:40.260000000
13,novice,New to Machine Learning,1,2018-02-19 08:15:07.044443000
2,novice,Titanic - Artificial Neural Network - 80% score,6,2018-02-19 01:48:15.657000000
5,contributor,XGBClassifier,0,2018-02-18 20:46:48.388073800
5,contributor,i\u0027m new to kaggle,1,2018-02-18 08:18:24.813095000
4,expert,Beginner Keras and Visualization Tutorial,6,2018-02-16 21:35:43.063000000
5,contributor,Trying to use kernels,0,2018-02-16 12:35:54.310000000
4,contributor,Ticket 7534,3,2018-02-16 11:01:02.126271500
2,novice,factor Parch has new levels 9,0,2018-02-15 16:14:28.013620300
2,contributor,CatBoost on a Boat with useful tricks,1,2018-02-15 14:33:53.717000000
0,novice,Titanic: TensorFlow (only Gender) \u0026 Export to CSV,0,2018-02-14 13:30:07.723000000
1,novice,Introducing dummy variables?,0,2018-02-13 11:19:29.682800700
0,novice,Titanic Dataset Analysis With Seaborn,0,2018-02-12 16:56:53.173000000
43,contributor,Making new team,1,2018-02-12 16:08:35.601558700
0,contributor,Step-by-step on the Sloping Deck,2,2018-02-12 16:03:12.963000000
3,novice,Hi can someone help me,0,2018-02-12 04:08:37.878244700
3,expert,Predicting using the Name feature alone,0,2018-02-11 17:38:19.395964800
14,expert,Name-only study with interactive 3D plot,8,2018-02-11 07:59:47.643000000
2,contributor,CV Score consistently higher than LB score,1,2018-02-11 02:15:19.314836500
12,contributor,A First-timer Tackles the Titanic,13,2018-02-10 22:27:45.593000000
5,contributor,Deep Sea Dive into Top 10% - Survival Guide,27,2018-02-09 17:40:25.243000000
10,contributor,Removing not significant variables from the model?,2,2018-02-09 17:25:52.306496000
15,contributor,Is it a good idea to estimate Age with RandomForest?,1,2018-02-09 08:39:16.528617600
0,novice,How to improve your score to over 80% (my highest score is 81.339%),0,2018-02-09 04:25:25.556450400
5,contributor,categorical features? but where?,0,2018-02-08 22:26:09.194413600
0,novice,Titanic Kernel,0,2018-02-08 18:32:22.470000000
5,novice,"Confused by test results, need insights ...",0,2018-02-08 00:20:14.451237800
1,novice,Discrepancy in the attribute \u0022FARE\u0022 or Am I missing something?,0,2018-02-07 11:19:08.130868300
0,contributor,Best Titanic Survival Prediction  for Beginners.,23,2018-02-07 10:34:57.807000000
4,novice,Error: could not convert string to float: \u0027Q\u0027,0,2018-02-07 05:40:58.885201800
12,contributor,Binning of continuous variable,1,2018-02-07 00:56:35.420106300
